0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Cake ,butter,,  package cream cheese,,white sugar, packed brown sugar,eggs,,vanilla extract, bourbon,unsweetened cocoa powder, allpurpose flour, baking powder,pinch salt,Filling , unsalted butter,, unsweetened cocoa powder, packed brown sugar,bourbon,toasted pecan pieces,, unsweetened cocoa powder,confectioners ' sugar,vanilla extract,butter,softened,hot water or as needed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
carrots,brown sugar,raisins,eggs, white sugar,vegetable oil,vanilla extract,pineapple,drained,allpurpose flour, baking soda,salt,ground cinnamon,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, shortening,water, unsweetened cocoa powder,allpurpose flour,white sugar, milk,distilled white vinegar,eggs,baking soda,vanilla extract,butter,milk,unsweetened cocoa powder,sifted confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 shortening,butter,softened,white sugar,egg yolks,egg whites,allpurpose flour, baking powder, salt, unsweetened cocoa powder, ground cinnamon, milk,vanilla extract, almond extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,melted,white sugar, brown sugar,vanilla extract,eggs, allpurpose flour, unsweetened cocoa powder,salt, buttermilk,or as needed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
pureed strawberries,  milk,eggs,vanilla extract, sifted cake flour, white sugar,baking powder,salt, butter,softened,  packages cream cheese,softened, butter,softened,confectioners ' sugar,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,allpurpose flour, whole wheat flour,baking soda,baking powder,salt,cinnamon, vegetable oil, white sugar, brown sugar,eggs,vanilla,apples,thinly, finely walnuts,Topping ,brown sugar, butter, milk, finely walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
margarine, white sugar,eggs, vanilla extract, milk, allpurpose flour,unsweetened cocoa powder, baking soda,salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
chocolate chips,or more to taste,olive oil,coconut flour,water, baking soda,egg,drop coffeeflavored extract  optional ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   can pineapple,with juice, white sugar,   packages instant vanilla pudding mix,milk,heavy whipping cream,vanilla extract, confectioners ' sugar, flaked coconut,toasted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package German chocolate cake mix,   can sweetened condensed milk,hot fudge topping,   container frozen whipped topping,thawed,   bars chocolate covered English toffee,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package devil 's food cake mix,    can sweetened condensed milk,caramel ice cream topping,   bars chocolate covered toffee,,  container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   can pineapple with juice,bananas,,   package instant vanilla pudding mix,   package frozen whipped topping,thawed, flaked coconut, walnuts, white sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   can pineapple with juice, white sugar,   packages instant vanilla pudding mix,milk,heavy whipping cream, confectioners ' sugar,vanilla extract, flaked coconut,toasted, pecans,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cake ,allpurpose flour,pineapple,undrained, white sugar, vegetable oil,egg whites,baking soda, salt,Topping , white sugar, evaporated milk,margarine,egg yolks,beaten,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour  Kings  ,milk,Judges ,white sugar,Jeremiah ,figs  Nahum  ,,raisins,Samuel ,almonds,Numbers ,honey,st Samuel , salt,Leviticus ,baking soda,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, confectioners ' sugar,egg yolks, cake flour, salt, baking powder, milk, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
eggs,white sugar,cake flour, salt,vanilla extract,boiling milk,baking powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,baking soda,baking powder,unsweetened cocoa powder,pinch salt, shortening,boiling water,eggs,beaten,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 inch  angel food cake,   packages instant chocolate fudge pudding mix,   container frozen whipped topping  such as Cool Whip ,thawed,milk, almond extract,   can cherry pie filling,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cooking spray,   package double chocolatechunk cookie mix, vegetable oil,egg,,   can cherry pie filling,divided,  packages cream cheese,softened, white sugar,  container frozen whipped topping  such as Cool Whip ,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ice, milk, instant hot chocolate mix,fluid cherry brandy, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,white sugar, unsweetened cocoa powder, baking powder, baking soda, salt,eggs,milk, vegetable oil,vanilla extract,   cans pitted sour cherries,white sugar, cornstarch,vanilla extract,heavy whipping cream, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
heavy whipping cream, white sugar, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour, unsweetened cocoa powder, baking soda,salt, shortening, white sugar,eggs,vanilla extract, buttermilk, kirschwasser, butter, confectioners ' sugar,pinch salt,strong brewed coffee,   cans pitted Bing cherries,drained,heavy whipping cream, vanilla extract,kirschwasser,  square semisweet chocolate,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
boiling water,  package cherryflavored gelatin  such as JellO ,fluid white rum,fluid creme de cacao,fluid vodka, maraschino cherries,whipped cream,chocolate syrup,or to taste,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can fat free sweetened condensed milk, oil substitute, packed brown sugar,eggs,egg white, allpurpose flour, unsweetened cocoa powder,baking soda,baking powder, salt, boiling water,semisweet chocolate chips,   can cherry pie filling,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can pineapple,with juice,flaked coconut,   package instant vanilla pudding mix,   can cherry pie filling,   package chocolate cake mix, butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   can cherry pie filling,   can pitted dark sweet cherries,   package chocolate cake mix,walnuts, butter,into pieces,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package chocolate cake mix,eggs, milk, vegetable oil,   jar hot fudge sauce,   can LUCKY LEAF Regular or Premium Cherry Fruit Filling  Topping,heavy cream, powdered sugar,Chocolate bar for shavings,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,white sugar,baking soda,unsweetened cocoa,vegetable oil,vinegar,vanilla,water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,white sugar, unsweetened cocoa powder,baking soda,baking powder,salt,eggs,strong brewed coffee,buttermilk, vegetable oil,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 unsweetened cocoa powder,milk, cake flour,baking powder,baking soda, salt, unsalted butter, shortening,white sugar,eggs,vanilla extract, white sugar,cornstarch, salt, milk,  squares unsweetened chocolate,,vanilla extract,  squares unsweetened chocolate,melted, unsalted butter, vanilla extract,eggs,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package moist yellow cake mix,   package instant chocolate pudding mix,eggs, white sugar,vegetable oil, vodka, coffee flavored liqueur, water, coffee flavored liqueur,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix, water, vegetable oil,   package instant chocolate pudding mix, ground cinnamon, ground cloves,instant coffee powder,eggs,beaten,   container chocolate fudge frosting,coffee flavored liqueur,vodka,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter, shortening, packed brown sugar, white sugar,eggs,sifted allpurpose flour,baking powder, salt,milk,vanilla extract,black walnuts,  package cream cheese, butter,sifted confectioners ' sugar,vanilla extract, black walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, shortening, white sugar, allpurpose flour,salt,baking powder,eggs, milk,vanilla extract,black walnut extract,black walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened, shortening,sugar,eggs,allpurpose flour, baking powder,ground cinnamon,milk, vanilla extract, black walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,   package instant vanilla flavor pudding mix,eggs, vegetable oil,water, ground black walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
  container blackberries,mashed, confectioners ' sugar,cornstarch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,white sugar,egg yolks,baking soda,buttermilk,allpurpose flour,baking powder, salt,unsweetened cocoa powder,ground cinnamon, ground allspice,blackberry preserves,sifted confectioners ' sugar,milk,butter,softened, vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
white sugar,unsweetened cocoa powder, milk,vanilla extract,eggs, butter,dark brown sugar,sour milk,baking soda, allpurpose flour, blackberry preserves,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,eggs,buttermilk,allpurpose flour,baking soda,ground cinnamon,ground allspice,ground cloves,seedless blackberry jam,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Topping , brown sugar,butter,fresh blackberries, white sugar,Cake ,white sugar, butter,softened,eggs, allpurpose flour,baking powder, salt, milk,vanilla extract,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package blackberry JellO,eggs, vegetable oil, blackberry wine, pecans,confectioners ' sugar, butter,softened,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix,  package blackberry flavored JellO,eggs, vegetable oil,blackberry wine, confectioners ' sugar, blackberry wine,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
gallon vanilla ice cream,   package chocolate sandwich cookies with creme filling,   container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 allpurpose flour,baking powder, kosher salt,plain Greek yogurt, agave nectar,eggs,blood oranges,zested, vanilla extract, extravirgin olive oil, blood orange juice,turbinado sugar,confectioners ' sugar,blood orange juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,cheese flavored crackers, cream cheese,softened,blue cheese,eggs, allpurpose flour, salt,sour cream, picante sauce, green onion, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
cornstarch, allpurpose flour, baking powder,salt, white sugar, vegetable oil, milk, water,vanilla extract,egg whites, cream of tartar,butter,orange zest, salt,sifted confectioners ' sugar, fresh orange juice,fresh lemon juice,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 selfrising flour,unsweetened cocoa powder,salt,baking soda, vegetable shortening, white sugar,eggs,blue food coloring,blueberry extract,apple cider vinegar,buttermilk, butter,   package confectioners ' sugar,blueberry extract, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package white cake mix  such as Pillsbury Classic White ,water,eggs, vegetable oil,fresh blueberries,white sugar,  package strawberryflavored gelatin,miniature marshmallows,frozen whipped topping  such as Cool Whip ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
packed brown sugar, allpurpose flour,ground cinnamon, butter,allpurpose flour,baking powder, salt, butter,white sugar,egg,vanilla extract, milk,fresh blueberries, confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
allpurpose flour,baking powder, salt, vegetable oil, white sugar,egg, milk,blueberries, allpurpose flour, white sugar, ground cinnamon, butter,softened,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter, white sugar,egg, milk,allpurpose flour,baking powder, salt,blueberries, brown sugar,allpurpose flour,ground cinnamon, pecans,butter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,water,eggs, vegetable oil,Filling , white sugar,cornstarch, water,fresh blueberries,Icing ,   package confectioners ' sugar,  package cream cheese,softened, vanilla extract,  container frozen whipped topping,thawed,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix, white sugar,eggs,  package cream cheese,, vegetable oil,vanilla extract, blueberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,   package instant vanilla pudding mix, white sugar, water, vegetable oil,eggs,  package cream cheese,,   can blueberries,drained,juice reserved,confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix,fresh blueberries, white sugar, butter,melted,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,milk,,eggs,lemon extract,baking powder,unbleached allpurpose flour,lemon zest,fresh blueberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fresh blueberries,lemon juice, white sugar,butter,softened,allpurpose flour,baking powder, salt, milk,Topping , white sugar,cornstarch, salt,boiling water,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
potato,and cubed,shortening,white sugar,eggs,vanilla extract,allpurpose flour,baking powder, salt,blueberries,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter, white sugar, allpurpose flour,baking powder, salt,butter,white sugar,eggs,vanilla extract,fresh blueberries, allpurpose flour,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
butter,softened,white sugar,eggs,sour cream,vanilla extract, allpurpose flour,baking powder, salt,fresh or frozen blueberries, brown sugar,ground cinnamon, pecans,confectioners ' sugar for dusting,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
melted butter,or as needed,allpurpose flour,or as needed, allpurpose flour, baking powder, baking soda,salt, unsalted butter,white sugar,roomtemperature eggs,vanilla extract,sour cream,blueberries, brown sugar, walnuts,ground cinnamon,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
fresh blueberries, white sugar,allpurpose flour,lemon zest, butter,softened,white sugar,eggs,almond extract,lemon zest, milk,allpurpose flour,baking powder, slivered almonds,toasted,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
   package yellow cake mix with pudding included, brown sugar,lowfat vanilla yogurt, applesauce, water, vegetable oil,eggs,maple flavoring, ground cinnamon,plus more for dusting, blueberries, confectioners ' sugar,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ground nutmeg,white sugar,shortening,salt,unsweetened cocoa powder,water, ground cloves,raisins,ground cinnamon,allpurpose flour,baking soda,vanilla extract,walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
 butter,softened, white sugar,vanilla extract,eggs, allpurpose flour, unsweetened cocoa powder, ground cinnamon,baking soda, milk, walnuts,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
water,candied fruit,white sugar, butter,allpurpose flour,baking soda,spice,eggs,beaten,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
raisins,water, vegetable oil,cold water,white sugar,allpurpose flour,ground cinnamon,ground cloves,ground nutmeg,baking soda, salt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
turbinado sugar,raisins,unsalted butter,water, whole wheat flour,pinch ground cinnamon,baking powder,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
